transaction_id,date,customer_id,product_category,amount,status,payment_method,region
T152,2024-08-17,C029,Clothing,145.50,Completed,Credit,South
T153,2024-08-20,C041,Food,48.90,Completed,Cash,East
T154,2024-08-23,C017,Services,1670.50,Pending,Wire,West
T155,2024-08-26,C050,Other,267.75,Completed,Credit,Central
T156,2024-08-29,C011,Electronics,2345.99,Completed,Debit,North
T157,2024-09-02,C032,Clothing,87.25,Failed,Credit,South
T158,2024-09-05,C005,Food,61.40,Completed,Cash,East
T159,2024-09-08,C024,Services,2780.25,Completed,Wire,West
T160,2024-09-11,C039,Other,178.50,Refunded,Credit,Central
T161,2024-09-14,C013,Electronics,1567.75,Completed,Debit,North
T162,2024-09-17,C046,Clothing,134.99,Completed,Credit,South
T163,2024-09-20,C021,Food,44.70,Completed,Cash,East
T164,2024-09-23,C034,Services,1890.50,Pending,Wire,West
T165,2024-09-26,C009,Other,234.25,Completed,Credit,Central
T166,2024-09-29,C027,Electronics,2156.50,Completed,Debit,North
T167,2024-10-02,C048,Clothing,98.75,Failed,Credit,South
T168,2024-10-05,C015,Food,58.60,Completed,Cash,East
T169,2024-10-08,C037,Services,3120.75,Completed,Wire,West
T170,2024-10-11,C004,Other,189.25,Refunded,Credit,Central
T171,2024-10-14,C022,Electronics,1789.99,Completed,Debit,North
T172,2024-10-17,C044,Clothing,124.50,Completed,Credit,South
T173,2024-10-20,C018,Food,46.80,Completed,Cash,East
T174,2024-10-23,C031,Services,1560.25,Pending,Wire,West
T175,2024-10-26,C006,Other,278.99,Completed,Credit,Central
T176,2024-10-29,C026,Electronics,2234.75,Completed,Debit,North
T177,2024-01-12,C049,Clothing,89.50,Failed,Credit,South
T178,2024-01-17,C010,Food,54.90,Completed,Cash,East
T179,2024-01-24,C035,Services,2890.50,Completed,Wire,West
T180,2024-01-29,C001,Other,167.75,Refunded,Credit,Central
T181,2024-02-01,C020,Electronics,1456.25,Completed,Debit,North
T182,2024-02-06,C042,Clothing,132.99,Completed,Credit,South
T183,2024-02-11,C030,Food,43.50,Completed,Cash,East
T184,2024-02-16,C003,Services,1890.75,Pending,Wire,West
T185,2024-02-21,C040,Other,245.50,Completed,Credit,Central
T186,2024-02-26,C016,Electronics,2567.25,Completed,Debit,North
T187,2024-03-03,C028,Clothing,97.75,Failed,Credit,South
T188,2024-03-07,C045,Food,56.40,Completed,Cash,East
T189,2024-03-10,C012,Services,2150.50,Completed,Wire,West
T190,2024-03-13,C033,Other,189.99,Refunded,Credit,Central
T191,2024-03-17,C008,Electronics,1789.75,Completed,Debit,North
T192,2024-03-20,C025,Clothing,145.25,Completed,Credit,South
T193,2024-03-23,C047,Food,48.60,Completed,Cash,East
T194,2024-03-27,C014,Services,1670.25,Pending,Wire,West
T195,2024-03-30,C038,Other,267.50,Completed,Credit,Central
T196,2024-04-02,C002,Electronics,2345.99,Completed,Debit,North
T197,2024-04-06,C029,Clothing,87.50,Failed,Credit,South
T198,2024-04-09,C041,Food,61.80,Completed,Cash,East
T199,2024-04-12,C017,Services,2780.75,Completed,Wire,West
T200,2024-04-15,C050,Other,178.25,Refunded,Credit,Central
T201,2024-04-18,C011,Electronics,1567.50,Completed,Debit,North
T202,2024-04-21,C032,Clothing,134.75,Completed,Credit,South
T203,2024-04-24,C005,Food,44.90,Completed,Cash,East
T204,2024-04-27,C024,Services,1890.25,Pending,Wire,West
T205,2024-04-30,C039,Other,234.99,Completed,Credit,Central
T206,2024-05-03,C013,Electronics,2156.75,Completed,Debit,North
T207,2024-05-06,C046,Clothing,98.25,Failed,Credit,South
T208,2024-05-09,C021,Food,58.70,Completed,Cash,East
T209,2024-05-12,C034,Services,3120.50,Completed,Wire,West
T210,2024-05-15,C009,Other,189.75,Refunded,Credit,Central
T211,2024-05-18,C027,Electronics,1789.99,Completed,Debit,North
T212,2024-05-21,C048,Clothing,124.50,Completed,Credit,South
T213,2024-05-24,C015,Food,46.40,Completed,Cash,East
T214,2024-05-27,C037,Services,1560.75,Pending,Wire,West
T215,2024-05-30,C004,Other,278.25,Completed,Credit,Central
T216,2024-06-03,C022,Electronics,2234.50,Completed,Debit,North
T217,2024-06-06,C044,Clothing,89.99,Failed,Credit,South
T218,2024-06-09,C018,Food,54.60,Completed,Cash,East
T219,2024-06-12,C031,Services,2890.25,Completed,Wire,West
T220,2024-06-15,C006,Other,167.50,Refunded,Credit,Central
T221,2024-06-18,C026,Electronics,1456.75,Completed,Debit,North
T222,2024-06-21,C049,Clothing,132.25,Completed,Credit,South
T223,2024-06-24,C010,Food,43.80,Completed,Cash,East
T224,2024-06-27,C035,Services,1890.50,Pending,Wire,West
T225,2024-06-30,C001,Other,245.99,Completed,Credit,Central
T226,2024-07-03,C020,Electronics,2567.25,Completed,Debit,North
T227,2024-07-06,C042,Clothing,97.50,Failed,Credit,South
T228,2024-07-09,C030,Food,56.90,Completed,Cash,East
T229,2024-07-12,C003,Services,2150.75,Completed,Wire,West
T230,2024-07-15,C040,Other,189.25,Refunded,Credit,Central
T231,2024-07-18,C016,Electronics,1789.50,Completed,Debit,North
T232,2024-07-21,C028,Clothing,145.75,Completed,Credit,South
T233,2024-07-24,C045,Food,48.40,Completed,Cash,East
T234,2024-07-27,C012,Services,1670.25,Pending,Wire,West
T235,2024-07-30,C033,Other,267.99,Completed,Credit,Central
T236,2024-08-03,C008,Electronics,2345.75,Completed,Debit,North
T237,2024-08-06,C025,Clothing,87.25,Failed,Credit,South
T238,2024-08-09,C047,Food,61.50,Completed,Cash,East
T239,2024-08-12,C014,Services,2780.50,Completed,Wire,West
T240,2024-08-15,C038,Other,178.75,Refunded,Credit,Central
T241,2024-08-18,C002,Electronics,1567.25,Completed,Debit,North
T242,2024-08-21,C029,Clothing,134.50,Completed,Credit,South
T243,2024-08-24,C041,Food,44.70,Completed,Cash,East
T244,2024-08-27,C017,Services,1890.75,Pending,Wire,West
T245,2024-08-30,C050,Other,234.25,Completed,Credit,Central
T246,2024-09-03,C011,Electronics,2156.99,Completed,Debit,North
T247,2024-09-06,C032,Clothing,98.75,Failed,Credit,South
T248,2024-09-09,C005,Food,58.60,Completed,Cash,East
T249,2024-09-12,C024,Services,3120.25,Completed,Wire,West
T250,2024-09-15,C039,Other,189.50,Refunded,Credit,Central
T251,2024-09-18,C013,Electronics,1789.75,Completed,Debit,North
T252,2024-09-21,C046,Clothing,124.99,Completed,Credit,South
T253,2024-09-24,C021,Food,46.80,Completed,Cash,East
T254,2024-09-27,C034,Services,1560.50,Pending,Wire,West
T255,2024-09-30,C009,Other,278.75,Completed,Credit,Central
T256,2024-10-03,C027,Electronics,2234.25,Completed,Debit,North
T257,2024-10-06,C048,Clothing,89.50,Failed,Credit,South
T258,2024-10-09,C015,Food,54.90,Completed,Cash,East
T259,2024-10-12,C037,Services,2890.75,Completed,Wire,West
T260,2024-10-15,C004,Other,167.25,Refunded,Credit,Central
T261,2024-10-18,C022,Electronics,1456.50,Completed,Debit,North
T262,2024-10-21,C044,Clothing,132.75,Completed,Credit,South
T263,2024-10-24,C018,Food,43.60,Completed,Cash,East
T264,2024-10-27,C031,Services,1890.25,Pending,Wire,West
T265,2024-10-30,C006,Other,245.50,Completed,Credit,Central
T266,2024-01-14,C026,Electronics,2567.99,Completed,Debit,North
T267,2024-01-19,C049,Clothing,97.25,Failed,Credit,South
T268,2024-01-26,C010,Food,56.40,Completed,Cash,East
T269,2024-01-31,C035,Services,2150.50,Completed,Wire,West
T270,2024-02-04,C001,Other,189.75,Refunded,Credit,Central
T271,2024-02-09,C020,Electronics,1789.25,Completed,Debit,North
T272,2024-02-13,C042,Clothing,145.50,Completed,Credit,South
T273,2024-02-17,C030,Food,48.90,Completed,Cash,East
T274,2024-02-20,C003,Services,1670.75,Pending,Wire,West
T275,2024-02-23,C040,Other,267.25,Completed,Credit,Central
T276,2024-02-27,C016,Electronics,2345.50,Completed,Debit,North
T277,2024-03-04,C028,Clothing,87.75,Failed,Credit,South
T278,2024-03-09,C045,Food,61.20,Completed,Cash,East
T279,2024-03-14,C012,Services,2780.25,Completed,Wire,West
T280,2024-03-19,C033,Other,178.99,Refunded,Credit,Central
T281,2024-03-24,C008,Electronics,1567.75,Completed,Debit,North
T282,2024-03-29,C025,Clothing,134.25,Completed,Credit,South
T283,2024-04-03,C047,Food,44.60,Completed,Cash,East
T284,2024-04-08,C014,Services,1890.50,Pending,Wire,West
T285,2024-04-13,C038,Other,234.75,Completed,Credit,Central
T286,2024-04-18,C002,Electronics,2156.25,Completed,Debit,North
T287,2024-04-23,C029,Clothing,98.50,Failed,Credit,South
T288,2024-04-28,C041,Food,58.80,Completed,Cash,East
T289,2024-05-01,C017,Services,3120.75,Completed,Wire,West
T290,2024-05-04,C050,Other,189.25,Refunded,Credit,Central
T291,2024-05-07,C011,Electronics,1789.99,Completed,Debit,North
T292,2024-05-10,C032,Clothing,124.75,Completed,Credit,South
T293,2024-05-13,C005,Food,46.50,Completed,Cash,East
T294,2024-05-16,C024,Services,1560.25,Pending,Wire,West
T295,2024-05-19,C039,Other,278.50,Completed,Credit,Central
T296,2024-05-22,C013,Electronics,2234.75,Completed,Debit,North
T297,2024-05-25,C046,Clothing,89.25,Failed,Credit,South
T298,2024-05-28,C021,Food,54.70,Completed,Cash,East
T299,2024-05-31,C034,Services,2890.50,Completed,Wire,West
T300,2024-06-03,C009,Other,167.99,Refunded,Credit,Central
T301,2024-06-06,C027,Electronics,1456.25,Completed,Debit,North
T302,2024-06-09,C048,Clothing,132.50,Completed,Credit,South
T303,2024-06-12,C015,Food,43.90,Completed,Cash,East
T304,2024-06-15,C037,Services,1890.75,Pending,Wire,West
T305,2024-06-18,C004,Other,245.25,Completed,Credit,Central
T306,2024-06-21,C022,Electronics,2567.50,Completed,Debit,North
T307,2024-06-24,C044,Clothing,97.75,Failed,Credit,South
T308,2024-06-27,C018,Food,56.60,Completed,Cash,East
T309,2024-06-30,C031,Services,2150.25,Completed,Wire,West
T310,2024-07-03,C006,Other,189.50,Refunded,Credit,Central
T311,2024-07-06,C026,Electronics,1789.75,Completed,Debit,North
T312,2024-07-09,C049,Clothing,145.25,Completed,Credit,South
T313,2024-07-12,C010,Food,48.40,Completed,Cash,East
T314,2024-07-15,C035,Services,1670.50,Pending,Wire,West
T315,2024-07-18,C001,Other,267.75,Completed,Credit,Central
T316,2024-07-21,C020,Electronics,2345.99,Completed,Debit,North
T317,2024-07-24,C042,Clothing,87.50,Failed,Credit,South
T318,2024-07-27,C030,Food,61.90,Completed,Cash,East
T319,2024-07-30,C003,Services,2780.75,Completed,Wire,West
T320,2024-08-02,C040,Other,178.25,Refunded,Credit,Central
T321,2024-08-05,C016,Electronics,1567.50,Completed,Debit,North
T322,2024-08-08,C028,Clothing,134.99,Completed,Credit,South
T323,2024-08-11,C045,Food,44.80,Completed,Cash,East
T324,2024-08-14,C012,Services,1890.25,Pending,Wire,West
T325,2024-08-17,C033,Other,234.50,Completed,Credit,Central
T326,2024-08-20,C008,Electronics,2156.75,Completed,Debit,North
T327,2024-08-23,C025,Clothing,98.25,Failed,Credit,South
T328,2024-08-26,C047,Food,58.70,Completed,Cash,East
T329,2024-08-29,C014,Services,3120.50,Completed,Wire,West
T330,2024-09-01,C038,Other,189.75,Refunded,Credit,Central
T331,2024-09-04,C002,Electronics,1789.25,Completed,Debit,North
T332,2024-09-07,C029,Clothing,124.50,Completed,Credit,South
T333,2024-09-10,C041,Food,46.60,Completed,Cash,East
T334,2024-09-13,C017,Services,1560.75,Pending,Wire,West
T335,2024-09-16,C050,Other,278.25,Completed,Credit,Central
T336,2024-09-19,C011,Electronics,2234.50,Completed,Debit,North
T337,2024-09-22,C032,Clothing,89.75,Failed,Credit,South
T338,2024-09-25,C005,Food,54.90,Completed,Cash,East
T339,2024-09-28,C024,Services,2890.25,Completed,Wire,West
T340,2024-10-01,C039,Other,167.50,Refunded,Credit,Central
T341,2024-10-04,C013,Electronics,1456.75,Completed,Debit,North
T342,2024-10-07,C046,Clothing,132.25,Completed,Credit,South
T343,2024-10-10,C021,Food,43.70,Completed,Cash,East
T344,2024-10-13,C034,Services,1890.50,Pending,Wire,West
T345,2024-10-16,C009,Other,245.99,Completed,Credit,Central
T346,2024-10-19,C027,Electronics,2567.25,Completed,Debit,North
T347,2024-10-22,C048,Clothing,97.50,Failed,Credit,South
T348,2024-10-25,C015,Food,56.80,Completed,Cash,East
T349,2024-10-28,C037,Services,2150.75,Completed,Wire,West
T350,2024-10-31,C004,Other,189.25,Refunded,Credit,Central
T351,2024-01-16,C022,Electronics,1789.50,Completed,Debit,North
T352,2024-01-21,C044,Clothing,145.75,Completed,Credit,South
T353,2024-01-28,C018,Food,48.60,Completed,Cash,East
T354,2024-02-02,C031,Services,1670.25,Pending,Wire,West
T355,2024-02-07,C006,Other,267.50,Completed,Credit,Central
T356,2024-02-12,C026,Electronics,2345.75,Completed,Debit,North
T357,2024-02-18,C049,Clothing,87.25,Failed,Credit,South
T358,2024-02-23,C010,Food,61.40,Completed,Cash,East
T359,2024-02-28,C035,Services,2780.50,Completed,Wire,West
T360,2024-03-05,C001,Other,178.99,Refunded,Credit,Central
T361,2024-03-10,C020,Electronics,1567.25,Completed,Debit,North
T362,2024-03-15,C042,Clothing,134.50,Completed,Credit,South
T363,2024-03-20,C030,Food,44.90,Completed,Cash,East
T364,2024-03-25,C003,Services,1890.75,Pending,Wire,West
T365,2024-03-30,C040,Other,234.25,Completed,Credit,Central
T366,2024-04-04,C016,Electronics,2156.50,Completed,Debit,North
T367,2024-04-09,C028,Clothing,98.75,Failed,Credit,South
T368,2024-04-14,C045,Food,58.80,Completed,Cash,East
T369,2024-04-19,C012,Services,3120.25,Completed,Wire,West
T370,2024-04-24,C033,Other,189.50,Refunded,Credit,Central
T371,2024-04-29,C008,Electronics,1789.99,Completed,Debit,North
T372,2024-05-04,C025,Clothing,124.25,Completed,Credit,South
T373,2024-05-09,C047,Food,46.70,Completed,Cash,East
T374,2024-05-14,C014,Services,1560.50,Pending,Wire,West
T375,2024-05-19,C038,Other,278.75,Completed,Credit,Central
T376,2024-05-24,C002,Electronics,2234.25,Completed,Debit,North
T377,2024-05-29,C029,Clothing,89.50,Failed,Credit,South
T378,2024-06-03,C041,Food,54.60,Completed,Cash,East
T379,2024-06-08,C017,Services,2890.75,Completed,Wire,West
T380,2024-06-13,C050,Other,167.25,Refunded,Credit,Central
T381,2024-06-18,C011,Electronics,1456.50,Completed,Debit,North
T382,2024-06-23,C032,Clothing,132.75,Completed,Credit,South
T383,2024-06-28,C005,Food,43.80,Completed,Cash,East
T384,2024-07-03,C024,Services,1890.25,Pending,Wire,West
T385,2024-07-08,C039,Other,245.50,Completed,Credit,Central
T386,2024-07-13,C013,Electronics,2567.75,Completed,Debit,North
T387,2024-07-18,C046,Clothing,97.25,Failed,Credit,South
T388,2024-07-23,C021,Food,56.90,Completed,Cash,East
T389,2024-07-28,C034,Services,2150.50,Completed,Wire,West
T390,2024-08-02,C009,Other,189.75,Refunded,Credit,Central
T391,2024-08-07,C027,Electronics,1789.25,Completed,Debit,North
T392,2024-08-12,C048,Clothing,145.50,Completed,Credit,South
T393,2024-08-17,C015,Food,48.40,Completed,Cash,East
T394,2024-08-22,C037,Services,1670.75,Pending,Wire,West
T395,2024-08-27,C004,Other,267.25,Completed,Credit,Central
T396,2024-09-01,C022,Electronics,2345.99,Completed,Debit,North
T397,2024-09-06,C044,Clothing,87.75,Failed,Credit,South
T398,2024-09-11,C018,Food,61.50,Completed,Cash,East
T399,2024-09-16,C031,Services,2780.25,Completed,Wire,West
T400,2024-09-21,C006,Other,178.50,Refunded,Credit,Central
T401,2024-09-26,C026,Electronics,1567.75,Completed,Debit,North
T402,2024-10-01,C049,Clothing,134.25,Completed,Credit,South
T403,2024-10-06,C010,Food,44.60,Completed,Cash,East
T404,2024-10-11,C035,Services,1890.50,Pending,Wire,West
T405,2024-10-16,C001,Other,234.75,Completed,Credit,Central
T406,2024-10-21,C020,Electronics,2156.25,Completed,Debit,North
T407,2024-10-26,C042,Clothing,98.50,Failed,Credit,South
T408,2024-10-31,C030,Food,58.70,Completed,Cash,East
T409,2024-01-13,C003,Services,3120.75,Completed,Wire,West
T410,2024-01-23,C040,,189.25,Refunded,Credit,Central
T411,01/15/2024,C016,Electronics,1789.99,Completed,Debit,North
T412,2024-02-10,C028,Clothing,124.75,Completed,Credit,South
T413,2024-02-15,C045,Food,46.50,Completed,Cash,East
T414,2024-02-20,C012,Services,1560.25,Pending,Wire,West
T415,2024-02-25,C033,Other,278.50,Completed,Credit,Central
T416,2024-03-01,C008,Electronics,2234.75,Completed,Debit,North
T417,2024-03-06,C025,Clothing,89.25,Failed,Credit,South
T418,2024-03-11,C047,Food,54.70,Completed,Cash,East
T419,2024-03-16,C014,Services,2890.50,Completed,Wire,West
T420,2024-03-21,C038,Other,167.99,Refunded,Credit,Central
T421,2024-03-26,C002,Electronics,1456.25,Completed,Debit,North
T422,2024-03-31,C029,Clothing,132.50,Completed,Credit,South
T423,2024-04-05,C041,Food,43.90,Completed,Cash,East
T424,2024-04-10,C017,Services,1890.75,Pending,Wire,West
T425,2024-04-15,C050,Other,245.25,Completed,Credit,Central
T426,2024-04-20,C011,Electronics,2567.50,Completed,Debit,North
T427,2024-04-25,C032,Clothing,97.75,Failed,Credit,South
T428,2024-04-30,C005,Food,56.60,Completed,Cash,East
T429,2024-05-05,C024,Services,2150.25,Completed,Wire,West
T430,2024-05-10,C039,Other,189.50,Refunded,Credit,Central
T431,2024-05-15,C013,Electronics,1789.75,Completed,Debit,North
T432,2024-05-20,C046,Clothing,145.25,Completed,Credit,South
T433,2024-05-25,C021,Food,48.40,Completed,Cash,East
T434,2024-05-30,C034,Services,1670.50,Pending,Wire,West
T435,2024-06-04,C009,Other,267.75,Completed,Credit,Central
T436,2024-06-09,C027,Electronics,2345.99,Completed,Debit,North
T437,2024-06-14,C048,Clothing,87.50,Failed,Credit,South
T438,2024-06-19,C015,Food,61.90,Completed,Cash,East
T439,2024-06-24,C037,Services,2780.75,Completed,Wire,West
T440,2024-06-29,C004,Other,178.25,Refunded,Credit,Central
T441,2024-07-04,C022,Electronics,1567.50,Completed,Debit,North
T442,2024-07-09,C044,Clothing,134.99,Completed,Credit,South
